Topic,,,Environment,Environment,Governance,Governance,Social,Social,Social,Social
Indicator Name,,,pop_denst,fore_area,gdp_grow,rate_labor,acce_electr,life_exp,unemp_rate,acce_fuel_tech
Region,Country Name,Year,,,,,,,,
Africa,"Congo, Dem. Rep.",2000,20.7784698176044,63.4741183476324,-6.91092731652101,96.8811582643694,6.69999980926514,50.041,2.90400004386902,1.0
Africa,"Congo, Dem. Rep.",2001,21.3619170287378,63.1772567874551,-2.10017302488846,96.7245672518216,7.31436443328857,50.667,2.88800001144409,1.2
Africa,"Congo, Dem. Rep.",2002,21.9984870205774,62.8803952272777,2.94776518359767,96.6172666749281,7.91584491729736,51.385,2.87100005149841,1.4
Africa,"Congo, Dem. Rep.",2003,22.6839209545445,62.5835336671004,5.57782231144424,96.5392106215633,8.51208972930908,52.144,2.85999989509583,1.6
Africa,"Congo, Dem. Rep.",2004,23.4087774861604,62.2866721069231,6.73837393324294,96.4889530137629,9.10544872283936,52.917,2.8529999256134,1.9
Africa,"Congo, Dem. Rep.",2005,24.166160428751,61.9898105467458,6.13515115548972,96.4651380598464,6.0,53.675,2.84999990463257,2.1
Africa,"Congo, Dem. Rep.",2006,24.9566820317152,61.6929489865685,5.32097956548998,95.6038096158406,10.2929649353027,54.401,3.08299994468689,2.4
Africa,"Congo, Dem. Rep.",2007,25.7840307889107,61.3960874263911,6.25947776437397,94.7010065158365,15.1999998092651,55.091,3.31299996376038,2.7
Africa,"Congo, Dem. Rep.",2008,26.6474912331003,61.0992258662138,6.22589426869193,93.7595340980291,11.4986276626587,55.743,3.54699993133545,2.9
Africa,"Congo, Dem. Rep.",2009,27.5461820427428,60.8023643060365,2.85506401011484,92.7768447865109,12.1150150299072,56.35,3.79299998283386,3.1
Africa,"Congo, Dem. Rep.",2010,28.4792364526587,60.5055027458592,7.10797657581392,91.7557311361755,12.7440509796143,56.909,4.01399993896484,3.2
Africa,"Congo, Dem. Rep.",2011,29.4458221036148,60.0196837299574,6.8746708900163,90.6962804261376,13.3884449005127,57.427,4.2519998550415,3.5
Africa,"Congo, Dem. Rep.",2012,30.445181623696,59.5338647140557,7.08689894671942,89.5972871173207,15.3999996185303,57.914,4.48999977111816,3.5
Africa,"Congo, Dem. Rep.",2013,31.4765020621513,59.048045698154,8.48195663608755,89.5306670220055,14.7332000732422,58.381,4.47599983215332,3.7
Africa,"Congo, Dem. Rep.",2014,32.5389581173772,58.5622266822523,9.47028809714084,89.5290783143082,13.5,58.828,4.46400022506714,3.8
Africa,"Congo, Dem. Rep.",2015,33.6316058313668,58.0764076663505,6.91616712035345,89.597985037638,16.1482429504395,59.254,4.46600008010864,3.7
Africa,"Congo, Dem. Rep.",2016,34.7540327738691,57.5905868860413,2.39939891413687,89.596545591156,17.0418376922607,59.655,4.47700023651123,3.7
Africa,"Congo, Dem. Rep.",2017,35.9051476588518,57.1047705167508,3.72694765333267,89.6934482947873,17.9165096282959,60.026,4.46500015258789,3.8
Africa,"Congo, Dem. Rep.",2018,37.0825927968064,56.6189497364416,5.82112109989339,89.8786445071286,18.5682907104492,60.368,4.45100021362305,3.6
Africa,"Congo, Dem. Rep.",2019,38.2834820581813,56.1331289561324,4.38452888103882,90.1380277649383,19.1000003814697,60.681,4.45100021362305,3.75
Africa,"Congo, Dem. Rep.",2020,39.5057030061093,55.6473125868419,1.7354227636007,88.4185710691881,19.1000003814697,60.971,5.26599979400635,3.7
Africa,"Egypt, Arab Rep.",2000,69.1461761012607,0.0594806368978854,6.37000383423162,28.4585755298328,97.6999969482422,68.602,8.97999954223633,83.5
Africa,"Egypt, Arab Rep.",2001,70.4733155859159,0.060126575920438,3.53525196931786,29.3922430760229,97.3440780639648,68.796,9.26000022888184,86.7
Africa,"Egypt, Arab Rep.",2002,71.8117876337335,0.0607725149429906,2.39020402784614,26.8134011357672,97.5361785888672,68.961,10.0100002288818,89.4
Africa,"Egypt, Arab Rep.",2003,73.1589753377869,0.0614184539655432,3.19345473897896,27.4365898501515,98.8000030517578,69.116,11.0100002288818,92.0
Africa,"Egypt, Arab Rep.",2004,74.5110984981667,0.0620643929880958,4.0920716120453,28.0747833154054,97.9070281982422,69.271,10.3199996948242,93.85
Africa,"Egypt, Arab Rep.",2005,75.8687789441961,0.0627103320106484,4.47174446860463,28.728208110353,99.4000015258789,69.434,11.1999998092651,95.5
Africa,"Egypt, Arab Rep.",2006,77.2250439499724,0.0633562710332011,6.84383819698924,29.3970182041638,99.0400009155273,69.608,10.4899997711182,96.7
Africa,"Egypt, Arab Rep.",2007,78.5897071676126,0.0640022100557537,7.08782742739524,32.3017450035075,98.4656295776367,69.788,8.80000019073486,97.6
Africa,"Egypt, Arab Rep.",2008,80.0000813702346,0.0646481490783063,7.15628356351688,30.0251666086468,99.8000030517578,69.971,8.52000045776367,98.2
Africa,"Egypt, Arab Rep.",2009,81.5056396604551,0.0652940881008589,4.67359980040543,31.5545056952632,98.8697128295898,70.159,9.09000015258789,98.8
Africa,"Egypt, Arab Rep.",2010,83.1395288562962,0.0659400271234115,5.14723485873294,30.7962503399252,99.3945541381836,70.349,8.76000022888184,99.1
Africa,"Egypt, Arab Rep.",2011,84.9156170576121,0.0624802852981064,1.76457194925801,30.1156905756858,99.4521636962891,70.543,11.8500003814697,99.4
Africa,"Egypt, Arab Rep.",2012,86.8172585262946,0.0590205434728013,2.22619979662137,30.3146419842375,99.6999969482422,70.736,12.6000003814697,99.55
