,Country Name,Country Code,Year,acce_fuel_tech,acce_electr,fore_area,gdp_grow,life_exp,mortal_rate,pop_65,parliment_women_seat,rate_labor,unemp_rate,log_pop_denst
0,Afghanistan,AFG,2019,31.9,97.6999969482422,1.85099408755323,3.911603419423,64.833,0.0601,2.61579421390507,27.8688524590164,30.0098803224511,11.2170000076294,1.7654405064087433
1,Afghanistan,AFG,2020,33.2,97.6999969482422,1.85099408755323,-2.35110067344623,65.173,0.058,2.6490696522272,27.0161290322581,24.6858778957205,11.710000038147,1.775445835202471
2,Albania,ALB,2019,80.7,100.0,28.7919708029197,2.11341998165848,78.573,0.009699999999999999,14.2026306207364,29.5081967213115,77.829119439077,11.4700002670288,2.017732469542861
3,Albania,ALB,2020,81.3,100.0,28.7919708029197,-3.95539792669307,78.686,0.009800000000000001,14.7045813168893,29.5081967213115,75.8574481545003,13.3290004730225,2.0152387204041564
4,Algeria,DZA,2019,99.7,99.5,0.814110350369751,0.999999999999915,76.88,0.0233,6.55277788191286,25.7575757575758,24.8778600511553,10.5129995346069,1.2571094310772157
5,Algeria,DZA,2020,99.7,99.8041305541992,0.818308959706366,-5.09999999999982,77.063,0.022699999999999998,6.74292726075119,25.7575757575758,24.1241414205571,12.5500001907349,1.26508539474515
6,Andorra,AND,2019,100.0,100.0,34.0425531914894,2.01554763848308,0.0,0.0027,0.0,46.4285714285714,0.0,0.0,2.215215554991474
7,Andorra,AND,2020,100.0,100.0,34.0425531914894,-11.9526932539653,0.0,0.0025,0.0,46.4285714285714,0.0,0.0,2.2158849510005436
8,Angola,AGO,2019,49.5,45.6427993774414,53.8721745407877,-0.624644317706895,61.147,0.0742,2.19934175001363,30.0,94.3309199504084,7.4210000038147,1.4070105330819738
9,Angola,AGO,2020,50.2,46.8906097412109,53.4269511510388,-5.39998738958575,61.487,0.0715,2.19146242080635,30.0,93.4262284145821,8.33300018310547,1.4209884327993167
10,Antigua and Barbuda,ATG,2019,100.0,100.0,18.5909090909091,4.86223616575663,77.016,0.0066,9.05496406433411,11.1111111111111,0.0,0.0,2.3438336380161227
11,Antigua and Barbuda,ATG,2020,100.0,100.0,18.4545454545455,-20.1923705722071,77.146,0.0064,9.3322713394398,11.1111111111111,0.0,0.0,2.347454208441285
12,Arab World,ARB,2019,87.2355388850014,89.9999455504114,2.83067870714863,2.05038751157234,71.9897093670282,0.0348857594217507,4.65783750219564,17.5665399239544,31.1095633471246,10.0061535286814,1.5146458136320826
13,Arab World,ARB,2020,87.307067521291,90.2777350826821,2.81292880697777,-5.28184428753164,72.1707598827252,0.0340863989893796,4.75913201944706,19.5469585136167,31.3375336649276,11.4873210354051,1.5229005934709003
14,Argentina,ARG,2019,99.9,100.0,10.4801786099266,-2.0259342366392,76.667,0.0091,11.2431082719004,40.1574803149606,70.4379197289097,9.84000015258789,1.2153950155752664
15,Argentina,ARG,2020,99.9,100.0,10.4407148781923,-9.89526896368687,76.813,0.0086,11.3665118336064,40.8560311284047,70.5190413038846,11.460000038147,1.2196079065315621
16,Armenia,ARM,2019,98.0,100.0,11.5447839831401,7.59999999853918,75.087,0.0115,11.4836677169087,23.4848484848485,68.5374316759537,18.2999992370605,2.0165707655529355
17,Armenia,ARM,2020,98.1,100.0,11.5374077976818,-7.40000000000001,75.224,0.0109,11.8028794803531,23.4848484848485,67.2182603892526,21.2059993743896,2.017378480956826
18,Australia,AUS,2019,100.0,100.0,17.4213145571644,2.11314942462376,82.9,0.0037,15.9212017459054,30.4635761589404,85.7140863884792,5.15999984741211,0.5182072174320369
19,Australia,AUS,2020,100.0,100.0,17.4213145571644,-0.00383655856659,83.2,0.0037,16.2130580672445,30.4635761589404,85.965111246242,6.46000003814697,0.5237789252539994
20,Austria,AUT,2019,100.0,100.0,47.2074648570044,1.49121084953705,81.8951219512195,0.0036,19.0756062856682,39.344262295082,83.5567332700303,4.48999977111816,2.0318498338969637
21,Austria,AUT,2020,100.0,100.0,47.2509694619486,-6.73451407608768,81.1926829268293,0.0036,19.2040036427437,39.344262295082,84.0869513565137,5.3600001335144,2.033652923532299
22,Azerbaijan,AZE,2019,96.7,100.0,13.5533670481767,2.4999999999999,73.005,0.020399999999999998,6.4463891203953,16.8067226890756,90.8177576735683,4.84999990463257,2.0837894430346084
23,Azerbaijan,AZE,2020,96.8,100.0,13.6928642291964,-4.29999999999997,73.123,0.019399999999999997,6.74162212574058,17.3553719008264,88.8703613779578,6.46299982070923,2.086761603878827
24,"Bahamas, The",BHS,2019,100.0,100.0,50.9350649350649,0.702459096698348,73.918,0.0224,7.48327265444873,12.8205128205128,92.776458341163,10.0609998703003,1.5900577741774808
25,"Bahamas, The",BHS,2020,100.0,100.0,50.9350649350649,-14.5144814032903,74.053,0.0123,7.74811567372929,12.8205128205128,90.5396716188892,13.3210000991821,1.5942324450654082
26,Bahrain,BHR,2019,100.0,100.0,0.871794871794872,2.14137678356339,77.292,0.007,2.51880972865733,15.0,51.7142962024036,1.19599997997284,3.323057379176887
27,Bahrain,BHR,2020,100.0,100.0,0.897435897435897,-5.08518021318916,77.419,0.0068,2.65119080851564,15.0,50.5256202280193,1.78100001811981,3.338758535321334
28,Bangladesh,BGD,2019,23.4,92.1999969482422,14.4687716063609,8.1526841493979,72.591,0.030699999999999998,5.18035134847486,20.6303724928367,45.3819431498933,4.43800020217896,3.0977997047053187
29,Bangladesh,BGD,2020,25.0,96.1999969482422,14.4687716063609,3.5091358821393,72.868,0.0291,5.22700361322017,20.9169054441261,43.9716398838606,5.41300010681152,3.102154697641242
